Open,High,Low,Close,Contact,Open Int,Rtn -1 Day,Rtn +1 Day,Rtn +2 Day,Date,Rtn +1 Day Table,,,,
1461,1472,1451,1452.75,124,8000,,,,06/12/2000,From,To,Total Rtn,Avg Rtn,Count
1442,1449,1430,1438.75,66,10000,-0.96%,0.75%,0.69%,06/13/2000,-20%,-5%,-0.72%,-0.0259%, 28 
1455,1463.1,1444.1,1449.5,66,13600,0.75%,-0.06%,1.85%,06/14/2000,-5%,-4%,-9.27%,-0.3195%, 29 
1445,1455,1436,1448.7,142,16400,-0.06%,1.91%,3.38%,06/15/2000,-4%,-3%,21.62%,0.3727%, 58 
1456.7,1478.9,1452,1476.3,202,21200,1.91%,1.45%,2.55%,06/16/2000,-3%,-2%,0.69%,0.0042%, 164 
1482,1508,1479,1497.65,214,32800,1.45%,1.09%,-0.77%,06/19/2000,-2%,-1%,5.34%,0.0110%, 486 
1523,1523,1500,1513.95,124,34000,1.09%,-1.84%,-1.36%,06/20/2000,-1%,0%,0.79%,0.0007%," 1,208 "
1518.95,1519,1485,1486.15,106,34400,-1.84%,0.48%,-0.57%,06/21/2000,0%,1%,50.92%,0.0384%," 1,326 "
1483.1,1499,1474,1493.35,80,32400,0.48%,-1.05%,-2.10%,06/22/2000,1%,2%,92.34%,0.1568%, 589 
1495,1499,1475,1477.7,124,33600,-1.05%,-1.06%,-1.48%,06/23/2000,2%,3%,79.51%,0.3917%, 203 
1471,1472,1444,1462,166,20000,-1.06%,-0.42%,0.53%,06/26/2000,3%,4%,-1.77%,-0.0323%, 55 
1465,1467,1455,1455.9,42,17200,-0.42%,0.95%,2.37%,06/27/2000,4%,5%,3.89%,0.2592%, 15 
1456,1469.9,1456,1469.75,72,16400,0.95%,1.40%,1.01%,06/28/2000,5%,20%,-7.16%,-0.2653%, 27 
1485,1499.9,1485,1490.35,126,14400,1.40%,-0.39%,0.73%,06/29/2000,,,,,
1487,1495,1480,1484.55,180,34800,-0.39%,1.12%,2.01%,06/30/2000,,,,,
1490.5,1503,1490,1501.25,158,39600,1.12%,0.88%,1.43%,07/03/2000,Rtn +2 Day Table,,,,
1502,1515,1499.5,1514.4,252,62800,0.88%,0.55%,0.23%,07/04/2000,From,To,Total Rtn,Avg Rtn,
1522,1527,1512.05,1522.7,238,64800,0.55%,-0.32%,-0.33%,07/05/2000,-20%,-5%,-9.78%,-0.3492%, 28 
1510,1521,1510,1517.9,246,59600,-0.32%,-0.01%,-0.56%,07/06/2000,-5%,-4%,-15.93%,-0.5494%, 29 
1520,1523,1514.75,1517.7,66,60000,-0.01%,-0.55%,0.08%,07/07/2000,-4%,-3%,52.28%,0.9014%, 58 
1524.4,1524.4,1506.5,1509.4,136,53200,-0.55%,0.63%,1.80%,07/10/2000,-3%,-2%,14.24%,0.0868%, 164 
1517,1520.5,1508,1518.95,126,57600,0.63%,1.16%,0.28%,07/11/2000,-2%,-1%,35.65%,0.0733%, 486 
1513.25,1538.5,1510.5,1536.5,190,70000,1.16%,-0.87%,-1.60%,07/12/2000,-1%,0%,137.51%,0.1138%," 1,208 "
1542,1564,1520,1523.2,422,50800,-0.87%,-0.74%,-2.62%,07/13/2000,0%,1%,90.71%,0.0685%," 1,325 "
1526,1532,1508.05,1511.9,518,50000,-0.74%,-1.89%,-3.03%,07/14/2000,1%,2%,105.85%,0.1797%, 589 
1513.5,1513.5,1482.05,1483.35,450,75600,-1.89%,-1.17%,-2.65%,07/17/2000,2%,3%,89.76%,0.4422%, 203 
1484.5,1484.8,1465,1466.05,368,80400,-1.17%,-1.50%,-2.35%,07/18/2000,3%,4%,-20.33%,-0.3696%, 55 
1470,1471.5,1443,1444,188,80800,-1.50%,-0.86%,-2.52%,07/19/2000,4%,5%,-3.23%,-0.2154%, 15 
1441.1,1450,1425,1431.65,324,107200,-0.86%,-1.68%,-7.59%,07/20/2000,5%,20%,-2.17%,-0.0803%, 27 
1443,1443,1401,1407.6,226,125600,-1.68%,-6.01%,-4.03%,07/21/2000,,,,,
1390,1390,1318,1323,160,124400,-6.01%,2.11%,-0.46%,07/24/2000,,,,,
1290,1364.9,1280,1350.9,492,83600,2.11%,-2.52%,-1.04%,07/25/2000,,,,,
1358.85,1370,1312,1316.85,272,68800,-2.52%,1.51%,2.48%,07/26/2000,,,,,
1320,1339,1301,1336.8,532,44400,1.51%,0.95%,0.82%,07/27/2000,,,,,
1350,1370,1348,1349.55,412,96400,0.95%,-0.13%,-0.41%,07/28/2000,,,,,
1342,1352,1340,1347.75,356,94800,-0.13%,-0.28%,-0.24%,07/31/2000,,,,,
1353.15,1355,1340,1344,72,98000,-0.28%,0.03%,-1.03%,08/01/2000,,,,,
1337,1347,1326,1344.45,476,106000,0.03%,-1.07%,-1.22%,08/02/2000,,,,,
1340,1350,1330,1330.1,334,92000,-1.07%,-0.15%,-0.54%,08/03/2000,,,,,
1333,1340,1315,1328.05,274,93200,-0.15%,-0.38%,1.92%,08/04/2000,,,,,
1325.5,1329,1314,1322.95,244,99200,-0.38%,2.31%,2.51%,08/07/2000,,,,,
1328,1358.9,1328,1353.5,338,86000,2.31%,0.19%,-1.15%,08/08/2000,,,,,
1362,1378,1356.05,1356.1,232,88800,0.19%,-1.33%,-2.82%,08/09/2000,,,,,
1367,1369.9,1335.05,1338,192,83600,-1.33%,-1.50%,-0.96%,08/10/2000,,,,,
1331,1332,1315.05,1317.9,340,93600,-1.50%,0.55%,3.04%,08/11/2000,,,,,
1325,1327.7,1305,1325.2,110,92000,0.55%,2.47%,1.40%,08/14/2000,,,,,
1338,1357.9,1338,1357.9,130,80400,2.47%,-1.04%,0.47%,08/16/2000,,,,,
1355,1368.95,1341.8,1343.8,132,75200,-1.04%,1.53%,2.32%,08/17/2000,,,,,
1353,1364.3,1346.5,1364.3,54,77600,1.53%,0.78%,1.28%,08/18/2000,,,,,
1366,1375.8,1365.55,1374.95,192,74000,0.78%,0.49%,0.66%,08/21/2000,,,,,
1375.5,1389.7,1375.5,1381.75,264,70000,0.49%,0.16%,0.06%,08/22/2000,,,,,
1385,1395,1380,1384,288,56400,0.16%,-0.10%,-0.22%,08/23/2000,,,,,
1381.05,1385.1,1374,1382.6,480,46800,-0.10%,-0.12%,-0.69%,08/24/2000,,,,,
1385.1,1392,1380,1380.95,262,44000,-0.12%,-0.58%,-1.03%,08/25/2000,,,,,
1378,1379,1325,1373,54,45200,-0.58%,-0.46%,0.07%,08/28/2000,,,,,
1366.5,1369,1360,1366.75,38,43200,-0.46%,0.53%,1.87%,08/29/2000,,,,,
1372,1377,1370.25,1374,288,37600,0.53%,1.34%,4.00%,08/30/2000,,,,,
1378.9,1393.9,1378.9,1392.35,182,37600,1.34%,2.63%,2.92%,08/31/2000,,,,,
1416,1440,1413,1429,356,83600,2.63%,0.28%,0.65%,09/04/2000,,,,,
1428.25,1433.5,1428.25,1433,230,92800,0.28%,0.37%,0.89%,09/05/2000,,,,,
1428,1445,1428,1438.3,362,120800,0.37%,0.51%,1.16%,09/06/2000,,,,,
1435.05,1455,1435,1445.7,190,140000,0.51%,0.64%,0.61%,09/07/2000,,,,,
1449.95,1458,1448.5,1455,298,153600,0.64%,-0.04%,1.15%,09/08/2000,,,,,
1458,1468,1453.1,1454.45,392,212800,-0.04%,1.19%,0.17%,09/11/2000,,,,,
1451.8,1474,1448,1471.7,282,216400,1.19%,-1.01%,-1.39%,09/12/2000,,,,,
1479.1,1480,1453,1456.85,142,228800,-1.01%,-0.38%,-2.23%,09/13/2000,,,,,
1454,1464,1440,1451.25,206,212400,-0.38%,-1.85%,-5.97%,09/14/2000,,,,,
1445,1449.95,1422.05,1424.35,354,179200,-1.85%,-4.19%,-6.71%,09/15/2000,,,,,
1401,1401,1360,1364.6,546,156800,-4.19%,-2.63%,-1.12%,09/18/2000,,,,,
1340,1373,1302.2,1328.75,370,124400,-2.63%,1.55%,0.20%,09/19/2000,,,,,
1350,1356,1320,1349.35,162,114000,1.55%,-1.33%,-5.67%,09/20/2000,,,,,
1345,1350,1330,1331.45,186,118400,-1.33%,-4.40%,-2.86%,09/21/2000,,,,,
1306.3,1318,1265,1272.9,406,100400,-4.40%,1.61%,-0.56%,09/22/2000,,,,,
1293,1295,1278,1293.35,212,80400,1.61%,-2.13%,0.12%,09/25/2000,,,,,
1286,1286,1261,1265.8,200,63200,-2.13%,2.30%,0.10%,09/26/2000,,,,,
1254.85,1300,1245,1294.9,622,85600,2.30%,-2.15%,-0.93%,09/27/2000,,,,,
1300,1303.3,1267,1267.05,342,102400,-2.15%,1.24%,1.87%,09/28/2000,,,,,
1285,1289,1275,1282.8,178,182000,1.24%,0.62%,2.03%,09/29/2000,,,,,
1270.05,1295,1260,1290.7,212,179600,0.62%,1.41%,0.07%,10/03/2000,,,,,
1290.05,1310,1290.05,1308.85,214,162800,1.41%,-1.32%,-1.20%,10/04/2000,,,,,
1325,1325,1290,1291.6,266,171200,-1.32%,0.12%,-1.29%,10/05/2000,,,,,
1285,1294,1273,1293.1,226,166800,0.12%,-1.40%,-3.70%,10/06/2000,,,,,
1288,1288,1274.1,1275,138,178400,-1.40%,-2.34%,-5.07%,10/09/2000,,,,,
1271,1277.2,1235,1245.2,854,202800,-2.34%,-2.79%,-2.49%,10/10/2000,,,,,
1230,1230.05,1202.5,1210.4,692,237600,-2.79%,0.32%,-2.12%,10/11/2000,,,,,
1195,1219.5,1190,1214.25,614,236400,0.32%,-2.43%,-2.40%,10/12/2000,,,,,
1192.95,1195,1178.75,1184.75,636,230800,-2.43%,0.03%,-1.72%,10/13/2000,,,,,
1227,1229,1183.5,1185.05,854,245600,0.03%,-1.74%,-3.73%,10/16/2000,,,,,
1172,1175,1150,1164.4,480,285600,-1.74%,-2.02%,0.38%,10/17/2000,,,,,
1151,1157,1133,1140.9,272,274400,-2.02%,2.45%,-0.18%,10/18/2000,,,,,
1144.9,1180,1111.15,1168.8,1322,330000,2.45%,-2.56%,-2.04%,10/19/2000,,,,,
1200,1214,1078,1138.85,494,290000,-2.56%,0.53%,1.25%,10/20/2000,,,,,
1165,1165,1142.5,1144.9,244,271600,0.53%,0.71%,3.31%,10/23/2000,,,,,
1136,1155,1136,1153.05,332,226800,0.71%,2.58%,3.71%,10/24/2000,,,,,
1164,1189.7,1164,1182.85,572,140800,2.58%,1.09%,0.51%,10/25/2000,,,,,
1195,1196.5,1190,1195.8,112,260000,1.09%,-0.58%,-1.74%,10/26/2000,,,,,
1205,1205,1181.3,1188.9,304,279600,-0.58%,-1.17%,-0.61%,10/27/2000,,,,,
1190,1194,1174.9,1175,152,292000,-1.17%,0.56%,2.77%,10/30/2000,,,,,
1179.45,1182,1164,1181.6,610,234000,0.56%,2.20%,4.16%,10/31/2000,,,,,
1194.95,1210.5,1193.05,1207.6,452,200800,2.20%,1.92%,3.44%,11/01/2000,,,,,
1209,1232,1209,1230.8,512,202000,1.92%,1.49%,1.21%,11/02/2000,,,,,
1236,1259,1233,1249.1,836,187600,1.49%,-0.28%,0.38%,11/03/2000,,,,,
1234,1265,1160.25,1245.65,508,194000,-0.28%,0.66%,1.64%,11/06/2000,,,,,
1240,1257,1236.5,1253.9,416,239600,0.66%,0.97%,1.45%,11/07/2000,,,,,
1261,1280,1261,1266.05,1162,225200,0.97%,0.47%,-1.82%,11/08/2000,,,,,
1267.05,1280,1254,1272.05,1090,262400,0.47%,-2.28%,-4.61%,11/09/2000,,,,,
1269,1269,1242,1243,484,296000,-2.28%,-2.38%,0.43%,11/10/2000,,,,,
1230.05,1254,1208,1213.4,1244,446400,-2.38%,2.88%,2.98%,11/13/2000,,,,,
1219,1253,1217.5,1248.35,826,439600,2.88%,0.10%,-0.94%,11/14/2000,,,,,
1259.8,1273,1248,1249.6,752,479200,0.10%,-1.04%,-0.78%,11/15/2000,,,,,
1266,1266,1233,1236.6,422,479200,-1.04%,0.26%,0.35%,11/16/2000,,,,,
1227.5,1242,1222,1239.85,552,498400,0.26%,0.09%,-0.08%,11/17/2000,,,,,
1237,1243.5,1236,1240.95,344,504400,0.09%,-0.17%,-1.44%,11/20/2000,,,,,
1230.1,1239.9,1228,1238.85,296,502400,-0.17%,-1.27%,-1.76%,11/21/2000,,,,,
1246,1246,1220,1223.1,298,503200,-1.27%,-0.49%,0.32%,11/22/2000,,,,,
1225,1227,1215,1217.05,510,496800,-0.49%,0.82%,3.11%,11/23/2000,,,,,
1224,1232,1224,1227.05,482,519600,0.82%,2.27%,3.63%,11/24/2000,,,,,
1234,1256.5,1233,1254.85,542,502400,2.27%,1.33%,0.86%,11/27/2000,,,,,
1251.6,1273.5,1251.6,1271.55,498,520000,1.33%,-0.46%,-0.17%,11/28/2000,,,,,
1274.9,1279.5,1255.5,1265.7,940,564400,-0.46%,0.29%,1.34%,11/29/2000,,,,,
1181,1270,1181,1269.4,598,501200,0.29%,1.05%,0.97%,11/30/2000,,,,,
1264,1285,1262.5,1282.7,1820,473200,1.05%,-0.08%,0.62%,12/01/2000,,,,,
1285,1292.9,1276.15,1281.65,818,551200,-0.08%,0.70%,1.52%,12/04/2000,,,,,
1280,1294,1280,1290.6,1078,557600,0.70%,0.82%,0.98%,12/05/2000,,,,,
1318,1320,1300,1301.15,388,564400,0.82%,0.16%,1.21%,12/06/2000,,,,,
1304.45,1310,1298,1303.2,294,582400,0.16%,1.05%,2.14%,12/07/2000,,,,,
1308,1318.8,1308,1316.9,510,638000,1.05%,1.08%,1.34%,12/08/2000,,,,,
1318.1,1332.5,1317.3,1331.1,320,648000,1.08%,0.26%,1.50%,12/11/2000,,,,,
1339,1340,1330,1334.55,440,665600,0.26%,1.23%,0.93%,12/12/2000,,,,,
1338.6,1357,1338.6,1351,386,675200,1.23%,-0.30%,-2.63%,12/13/2000,,,,,
1359,1365.9,1345,1347,558,702000,-0.30%,-2.34%,-1.92%,12/14/2000,,,,,
1343.95,1345,1311,1315.45,882,639600,-2.34%,0.43%,-0.38%,12/15/2000,,,,,
1307,1323,1301.55,1321.1,612,644400,0.43%,-0.80%,-1.79%,12/18/2000,,,,,
1320,1326,1308,1310.5,796,738000,-0.80%,-0.99%,-2.59%,12/19/2000,,,,,
1301,1304,1287.5,1297.5,488,716800,-0.99%,-1.61%,-4.22%,12/20/2000,,,,,
1277,1286,1261,1276.55,622,685600,-1.61%,-2.64%,-5.16%,12/21/2000,,,,,
1288,1291.5,1240,1242.8,814,611600,-2.64%,-2.58%,-1.42%,12/22/2000,,,,,
1245,1245,1210,1210.7,512,598000,-2.58%,1.19%,2.95%,12/26/2000,,,,,
1218.9,1237,1218.9,1225.15,276,589200,1.19%,1.74%,3.39%,12/27/2000,,,,,
1243.9,1248.6,1237,1246.45,244,582000,1.74%,1.62%,0.28%,12/28/2000,,,,,
1253,1268,1246,1266.65,804,482800,1.62%,-1.31%,0.42%,12/29/2000,,,,,
1266,1276.95,1240,1250,1826,616800,-1.31%,1.76%,3.40%,01/01/2001,,,,,
1256.4,1277.95,1250,1271.95,1180,700400,1.76%,1.62%,3.38%,01/02/2001,,,,,
1260,1295.9,1260,1292.55,1966,655200,1.62%,1.74%,2.99%,01/03/2001,,,,,
1329.9,1330,1311,1315,1248,640400,1.74%,1.24%,-0.23%,01/04/2001,,,,,
1255,1333,1255,1331.25,768,667600,1.24%,-1.45%,-1.36%,01/05/2001,,,,,
