"Open","High","Low","Close","Contact","Open.Int","Rtn..1.Day","Rtn..1.Day.1","Rtn..2.Day","Date","Rtn..1.Day.Table","X","X.1","X.2","X.3","sma20","ema14","dn","mavg","up","pctB","rsi14","macd","signal"
1461,1472,1451,1452.75,124,8000,"","","","06/12/2000","From","To","Total Rtn","Avg Rtn","Count",,,,,,,,,
1442,1449,1430,1438.75,66,10000,"-0.96%","0.75%","0.69%","06/13/2000","-20%","-5%","-0.72%","-0.0259%"," 28 ",,,,,,,,,
1455,1463.1,1444.1,1449.5,66,13600,"0.75%","-0.06%","1.85%","06/14/2000","-5%","-4%","-9.27%","-0.3195%"," 29 ",,,,,,,,,
1445,1455,1436,1448.7,142,16400,"-0.06%","1.91%","3.38%","06/15/2000","-4%","-3%","21.62%","0.3727%"," 58 ",,,,,,,,,
1456.7,1478.9,1452,1476.3,202,21200,"1.91%","1.45%","2.55%","06/16/2000","-3%","-2%","0.69%","0.0042%"," 164 ",,,,,,,,,
1482,1508,1479,1497.65,214,32800,"1.45%","1.09%","-0.77%","06/19/2000","-2%","-1%","5.34%","0.0110%"," 486 ",,,,,,,,,
1523,1523,1500,1513.95,124,34000,"1.09%","-1.84%","-1.36%","06/20/2000","-1%","0%","0.79%","0.0007%"," 1,208 ",,,,,,,,,
1518.95,1519,1485,1486.15,106,34400,"-1.84%","0.48%","-0.57%","06/21/2000","0%","1%","50.92%","0.0384%"," 1,326 ",,,,,,,,,
1483.1,1499,1474,1493.35,80,32400,"0.48%","-1.05%","-2.10%","06/22/2000","1%","2%","92.34%","0.1568%"," 589 ",,,,,,,,,
1495,1499,1475,1477.7,124,33600,"-1.05%","-1.06%","-1.48%","06/23/2000","2%","3%","79.51%","0.3917%"," 203 ",,,,,,,,,
1471,1472,1444,1462,166,20000,"-1.06%","-0.42%","0.53%","06/26/2000","3%","4%","-1.77%","-0.0323%"," 55 ",,,,,,,,,
1465,1467,1455,1455.9,42,17200,"-0.42%","0.95%","2.37%","06/27/2000","4%","5%","3.89%","0.2592%"," 15 ",,,,,,,,,
1456,1469.9,1456,1469.75,72,16400,"0.95%","1.40%","1.01%","06/28/2000","5%","20%","-7.16%","-0.2653%"," 27 ",,,,,,,,,
1485,1499.9,1485,1490.35,126,14400,"1.40%","-0.39%","0.73%","06/29/2000","","","","","",,1472.34285714286,,,,,,,
1487,1495,1480,1484.55,180,34800,"-0.39%","1.12%","2.01%","06/30/2000","","","","","",,1473.97047619048,,,,,57.8132678132678,,
1490.5,1503,1490,1501.25,158,39600,"1.12%","0.88%","1.43%","07/03/2000","Rtn +2 Day Table","","","","",,1477.60774603175,,,,,61.2388427742854,,
1502,1515,1499.5,1514.4,252,62800,"0.88%","0.55%","0.23%","07/04/2000","From","To","Total Rtn","Avg Rtn","",,1482.51337989418,,,,,63.7358998007914,,
1522,1527,1512.05,1522.7,238,64800,"0.55%","-0.32%","-0.33%","07/05/2000","-20%","-5%","-9.78%","-0.3492%"," 28 ",,1487.87159590829,,,,,65.2572625672084,,
1510,1521,1510,1517.9,246,59600,"-0.32%","-0.01%","-0.56%","07/06/2000","-5%","-4%","-15.93%","-0.5494%"," 29 ",,1491.87538312052,,,,,63.5956449744225,,
1520,1523,1514.75,1517.7,66,60000,"-0.01%","-0.55%","0.08%","07/07/2000","-4%","-3%","52.28%","0.9014%"," 58 ",1483.565,1495.31866537112,1432.08172018995,1483.565,1535.04827981005,0.831515398066537,63.5230666183094,,
1524.4,1524.4,1506.5,1509.4,136,53200,"-0.55%","0.63%","1.80%","07/10/2000","-3%","-2%","14.24%","0.0868%"," 164 ",1486.3975,1497.19617665497,1435.78117382948,1486.3975,1537.01382617052,0.727224116607255,60.440310165241,,
1517,1520.5,1508,1518.95,126,57600,"0.63%","1.16%","0.28%","07/11/2000","-2%","-1%","35.65%","0.0733%"," 486 ",1490.4075,1500.0966864343,1442.91467659477,1490.4075,1537.90032340523,0.800492768733342,62.6842436097457,,
1513.25,1538.5,1510.5,1536.5,190,70000,"1.16%","-0.87%","-1.60%","07/12/2000","-1%","0%","137.51%","0.1138%"," 1,208 ",1494.7575,1504.9504615764,1447.11196217115,1494.7575,1542.40303782885,0.938052563809322,66.4504352615196,,
1542,1564,1520,1523.2,422,50800,"-0.87%","-0.74%","-2.62%","07/13/2000","0%","1%","90.71%","0.0685%"," 1,325 ",1498.4825,1507.38373336621,1454.29957032122,1498.4825,1542.66542967878,0.779717757284342,61.3934529904073,,
1526,1532,1508.05,1511.9,518,50000,"-0.74%","-1.89%","-3.03%","07/14/2000","1%","2%","105.85%","0.1797%"," 589 ",1500.2625,1507.98590225072,1456.93755481827,1500.2625,1543.58744518173,0.634304843909038,57.396831618795,,
1513.5,1513.5,1482.05,1483.35,450,75600,"-1.89%","-1.17%","-2.65%","07/17/2000","2%","3%","89.76%","0.4422%"," 203 ",1499.5475,1504.70111528395,1455.60609042998,1499.5475,1543.48890957002,0.315692075442064,48.7601259875225,1.42598125985904,
1484.5,1484.8,1465,1466.05,368,80400,"-1.17%","-1.50%","-2.35%","07/18/2000","3%","4%","-20.33%","-0.3696%"," 55 ",1497.1525,1499.54763324609,1451.42686741826,1497.1525,1542.87813258174,0.159900823193615,44.4002851832032,1.28779221985198,
1470,1471.5,1443,1444,188,80800,"-1.50%","-0.86%","-2.52%","07/19/2000","4%","5%","-3.23%","-0.2154%"," 15 ",1495.045,1492.14128214661,1443.91874549216,1495.045,1546.17125450784,0.000794645614257143,39.5466942280019,0.954161148457966,
1441.1,1450,1425,1431.65,324,107200,"-0.86%","-1.68%","-7.59%","07/20/2000","5%","20%","-2.17%","-0.0803%"," 27 ",1491.96,1484.0757778604,1433.83052726886,1491.96,1550.08947273114,-0.0187557805568654,37.1004509323911,0.538033937723803,
1443,1443,1401,1407.6,226,125600,"-1.68%","-6.01%","-4.03%","07/21/2000","","","","","",1488.455,1473.87900747901,1419.80700002913,1488.455,1557.10299997087,-0.0889100923137952,32.8402618054698,0.000602707361463395,
1390,1390,1318,1323,160,124400,"-6.01%","2.11%","-0.46%","07/24/2000","","","","","",1481.505,1453.76180648181,1382.23548856774,1481.505,1580.77451143226,-0.298356905927546,22.8851934727823,-0.696949500660005,
1290,1364.9,1280,1350.9,492,83600,"2.11%","-2.52%","-1.04%","07/25/2000","","","","","",1476.255,1440.0468989509,1362.12964830284,1476.255,1590.38035169716,-0.0491987456592494,30.3804635375756,-1.25839046288932,
1358.85,1370,1312,1316.85,272,68800,"-2.52%","1.51%","2.48%","07/26/2000","","","","","",1468.61,1423.62064575745,1334.95245401026,1468.61,1602.26754598974,-0.0677195360583966,26.9391025419231,-1.84077961712551,
1320,1339,1301,1336.8,532,44400,"1.51%","0.95%","0.82%","07/27/2000","","","","","",1460.9325,1412.04455965646,1315.9883270402,1460.9325,1605.8766729598,0.0717920304584129,31.8127014901875,-2.49240169487519,-0.231327778032864
1350,1370,1348,1349.55,412,96400,"0.95%","-0.13%","-0.41%","07/28/2000","","","","","",1454.1825,1403.71195170226,1301.87945250915,1454.1825,1606.48554749085,0.156498994196796,34.8058309907775,-3.190753939688,-0.744298355760313
1342,1352,1340,1347.75,356,94800,"-0.13%","-0.28%","-0.24%","07/31/2000","","","","","",1446.5075,1396.25035814196,1289.08100516828,1446.5075,1603.93399483172,0.186337740970575,34.5750859927269,-3.8637136367064,-1.31668789537791
1353.15,1355,1340,1344,72,98000,"-0.28%","0.03%","-1.03%","08/01/2000","","","","","",1437.9875,1389.28364372303,1277.76135083888,1437.9875,1598.21364916112,0.206703617068489,34.0683579535624,-4.52817602033481,-1.92583646968822
1337,1347,1326,1344.45,476,106000,"0.03%","-1.07%","-1.22%","08/02/2000","","","","","",1429.075,1383.30582455996,1268.85858542272,1429.075,1589.29141457728,0.23590408878118,34.1929957371518,-5.04607630431214,-2.54629316324777
1340,1350,1330,1330.1,334,92000,"-1.07%","-0.15%","-0.54%","08/03/2000","","","","","",1419.685,1376.21171461863,1259.37952567052,1419.685,1579.99047432948,0.220580347069518,32.1085049491029,-5.47882400775599,-3.15511835381637
1333,1340,1315,1328.05,274,93200,"-0.15%","-0.38%","1.92%","08/04/2000","","","","","",1410.2025,1369.79015266948,1251.78475959508,1410.2025,1568.62024040492,0.240709279812927,31.8101622900049,-5.74133189131356,-3.71560528611121
1325.5,1329,1314,1322.95,244,99200,"-0.38%","2.31%","2.51%","08/07/2000","","","","","",1400.88,1363.54479898022,1244.9854349889,1400.88,1556.7745650111,0.250055430109282,31.0375116546342,-5.96557051324382,-4.23862529170616
1328,1358.9,1328,1353.5,338,86000,"2.31%","0.19%","-1.15%","08/08/2000","","","","","",1392.6075,1362.20549244952,1245.33141139428,1392.6075,1539.88358860572,0.367230653766558,40.3794869047866,-5.90679562257124,-4.69040484786679
1362,1378,1356.05,1356.1,232,88800,"0.19%","-1.33%","-2.82%","08/09/2000","","","","","",1383.5875,1361.39142678959,1251.33639839778,1383.5875,1515.83860160222,0.396078370361418,41.1106418578227,-5.30707607123089,-5.00314644523965
1367,1369.9,1335.05,1338,192,83600,"-1.33%","-1.50%","-0.96%","08/10/2000","","","","","",1374.3275,1358.27256988431,1257.43148862664,1374.3275,1491.22351137336,0.344616169648541,37.64918292968,-4.90569112797343,-5.19369502171581
1331,1332,1315.05,1317.9,340,93600,"-1.50%","0.55%","3.04%","08/11/2000","","","","","",1364.6275,1352.8895605664,1263.9304718661,1364.6275,1465.3245281339,0.26797974644364,34.2049245180352,-4.3770930490174,-5.25073717863925
1325,1327.7,1305,1325.2,110,92000,"0.55%","2.47%","1.40%","08/14/2000","","","","","",1356.72,1349.19761915755,1270.80331710314,1356.72,1442.63668289686,0.316566475000917,36.4778078080425,-3.93824474405239,-5.18518925905232
1338,1357.9,1338,1357.9,130,80400,"2.47%","-1.04%","0.47%","08/16/2000","","","","","",1351.3125,1350.35793660321,1281.49573356815,1351.3125,1421.12926643185,0.54717706316598,45.5514140307959,-3.48456449528921,-5.01168794693866
1355,1368.95,1341.8,1343.8,132,75200,"-1.04%","1.53%","2.32%","08/17/2000","","","","","",1346.3025,1349.48354505611,1290.92133465473,1346.3025,1401.68366534527,0.477406578713192,42.7179304644638,-3.03740997639613,-4.74041972123201
1353,1364.3,1346.5,1364.3,54,77600,"1.53%","0.78%","1.28%","08/18/2000","","","","","",1342.935,1351.45907238196,1302.56600075553,1342.935,1383.30399924447,0.764621372833844,47.8017935668479,-2.44681729674947,-4.37436254405822
1366,1375.8,1365.55,1374.95,192,74000,"0.78%","0.49%","0.66%","08/21/2000","","","","","",1341.3025,1354.59119606437,1309.87519539079,1341.3025,1372.72980460921,1.03532271409207,50.2710428114072,-1.85445752016177,-3.91757221149355
1375.5,1389.7,1375.5,1381.75,264,70000,"0.49%","0.16%","0.06%","08/22/2000","","","","","",1344.24,1358.21236992245,1309.40663094101,1344.24,1379.07336905899,1.03842050041835,51.8376531151674,-1.17826758219303,-3.39218020700708
1385,1395,1380,1384,288,56400,"0.16%","-0.10%","-0.22%","08/23/2000","","","","","",1345.895,1361.65072059946,1307.04004021364,1345.895,1384.74995978636,0.990349239962056,52.3723030238838,-0.557448221287193,-2.86444377923556
1381.05,1385.1,1374,1382.6,480,46800,"-0.10%","-0.12%","-0.69%","08/24/2000","","","","","",1349.1825,1364.44395785286,1309.59454381381,1349.1825,1388.77045618619,0.922066497229961,51.985602166019,0.0444820722122374,-2.31442453477048
1385.1,1392,1380,1380.95,262,44000,"-0.12%","-0.58%","-1.03%","08/25/2000","","","","","",1351.39,1366.64476347248,1309.93057887524,1351.39,1392.84942112476,0.856493158829324,51.5029368961791,0.392697553980814,-1.78444780110402
1378,1379,1325,1373,54,45200,"-0.58%","-0.46%","0.07%","08/28/2000","","","","","",1352.5625,1367.49212834282,1310.06419562206,1352.5625,1395.06080437794,0.740450769732461,49.135771421473,0.664490358165937,-1.27303278974642
1366.5,1369,1360,1366.75,38,43200,"-0.46%","0.53%","1.87%","08/29/2000","","","","","",1353.5125,1367.39317789711,1310.63918807988,1353.5125,1396.38581192012,0.654379256082003,47.2953689292981,0.959155741589757,-0.779286096759872
1372,1377,1370.25,1374,288,37600,"0.53%","1.34%","4.00%","08/30/2000","","","","","",1355.0125,1368.27408751083,1311.48123680905,1355.0125,1398.54376319095,0.718090386174989,49.6512139155534,1.15849743404437,-0.313074162266483
1378.9,1393.9,1378.9,1392.35,182,37600,"1.34%","2.63%","2.92%","08/31/2000","","","","","",1357.4075,1371.48420917605,1311.27149155757,1357.4075,1403.54350844243,0.878690107571858,55.1193556371489,1.45281025059525,0.120217787438486
1416,1440,1413,1429,356,83600,"2.63%","0.28%","0.65%","09/04/2000","","","","","",1362.3525,1379.15298128591,1308.43889805207,1362.3525,1416.26610194793,1.118095411844,63.6181628397241,1.56689244762231,0.50036778385894
1428.25,1433.5,1428.25,1433,230,92800,"0.28%","0.37%","0.89%","09/05/2000","","","","","",1367.6,1386.33258378112,1307.93918371326,1367.6,1427.26081628674,1.04809843437004,64.4102884550394,1.83686528665752,0.835382547064556
1428,1445,1428,1438.3,362,120800,"0.37%","0.51%","1.16%","09/06/2000","","","","","",1373.3675,1393.26157261031,1309.90624981534,1373.3675,1436.82875018466,1.01159171786767,65.4826648669322,2.03400155654161,1.12332141126776
1435.05,1455,1435,1445.7,190,140000,"0.51%","0.64%","0.61%","09/07/2000","","","","","",1377.9775,1400.25336292893,1307.90770283317,1377.9775,1448.04729716683,0.983250292838465,66.9787517136722,2.18393259626897,1.36103813616295
1449.95,1458,1448.5,1455,298,153600,"0.64%","-0.04%","1.15%","09/08/2000","","","","","",1382.9225,1407.55291453841,1306.09325768303,1382.9225,1459.75174231697,0.969075952243758,68.8085014691039,2.31080174970677,1.57416082457694
1458,1468,1453.1,1454.45,392,212800,"-0.04%","1.19%","0.17%","09/11/2000","","","","","",1388.745,1413.80585926662,1308.82781223667,1388.745,1468.66218776333,0.911081782523293,68.5665240895359,2.42280105911137,1.76952868023755
1451.8,1474,1448,1471.7,282,216400,"1.19%","-1.01%","-1.39%","09/12/2000","","","","","",1396.435,1421.52507803107,1315.67166611636,1396.435,1477.19833388364,0.965960209792974,71.9037947455234,2.55639139579138,1.94699930848217
1479.1,1480,1453,1456.85,142,228800,"-1.01%","-0.38%","-2.23%","09/13/2000","","","","","",1403.0175,1426.23506762693,1325.14254719103,1403.0175,1480.89245280897,0.845634238341369,65.4606029300353,2.64608859566446,2.11228721532885
1454,1464,1440,1451.25,206,212400,"-0.38%","-1.85%","-5.97%","09/14/2000","","","","","",1407.685,1429.57039194334,1329.99637084489,1407.685,1485.37362915511,0.78038208727445,63.1620642249685,2.75063094517936,2.25648951472708
1445,1449.95,1422.05,1424.35,354,179200,"-1.85%","-4.19%","-6.71%","09/15/2000","","","","","",1411.7125,1428.87433968423,1339.53268374227,1411.7125,1483.89231625773,0.587541785607178,53.4527073657895,2.89399091798388,2.40394490032281
1401,1401,1360,1364.6,546,156800,"-4.19%","-2.63%","-1.12%","09/18/2000","","","","","",1411.7275,1420.30442772633,1339.58698797659,1411.7275,1483.86801202341,0.173363144520614,39.0819250930017,2.81375020154817,2.512487668644
